year,site,catch,runoff_mm,sed_kgha,tn_kgha,tp_kgha,no3_kgha,sed_mgL,tn_mgL,tp_mgL,no3_mgL
2010,W,3,308.2963627,5177.144612,37.04909849,4.725188079,4.637344278,1679.275281,12.01736477,1.532677206,1.504183908
2011,B,1,94.71236056,142.3855524,4.205437337,0.699444027,0.310802245,150.3347098,4.44022017,0.738492867,0.328153836
2011,B,2,111.6832033,200.2403624,8.344699682,0.41886312,0.387590157,179.2931762,7.471758899,0.375045761,0.347044269
2011,B,3,74.91493156,136.3367313,3.270470056,0.256395349,0.127318947,181.9887283,4.365578381,0.342248659,0.169951362
2011,B,4,177.9430128,181.6688829,9.951241113,0.649573449,0.202925481,102.0938558,5.59237531,0.365045774,0.114039589
2011,B,5,134.8778296,119.1377923,8.518463526,0.526757691,0.230996226,88.3301523,6.315688466,0.390544312,0.171263303
2011,B,6,262.7920343,1231.552659,13.62400255,1.735732953,1.135665315,468.6415485,5.184328585,0.660496791,0.43215363
2011,I,1,95.1780933,1133.046958,5.648592251,1.5184395,0.588783437,1190.449313,5.934760884,1.595366588,0.618612347
2011,I,2,89.72243587,1144.833864,5.597731033,1.414241815,0.664195905,1275.972785,6.238942331,1.576240994,0.740278502
2011,I,3,161.4046257,856.192639,12.71175,1.615808309,1.360280058,530.4635076,7.87570365,1.001091699,0.842776378
2011,W,1,77.57006417,252.4730466,5.350499682,0.647061917,0.283598102,325.4774239,6.897634725,0.834164473,0.365602511
2011,W,2,85.29245009,315.1727503,4.268910603,0.434916866,0.360531486,369.520104,5.005027524,0.509912502,0.422700351
2011,W,3,101.7690149,7917.505182,8.603078185,3.924670981,0.6397875,7779.877978,8.453533907,3.856449807,0.628666299
2012,B,1,26.77578831,79.52429681,0.198229488,0.984982077,0.122642508,297.0007676,0.740331098,3.678629611,0.458035097
2012,B,2,5.808188829,5.039537827,0.213529423,0.30380978,0.131621308,86.76608105,3.676351265,5.230714587,2.266133424
2012,B,3,12.64338619,0.567999049,0.003605333,0.002363496,0.000450141,4.492459853,0.028515567,0.018693538,0.003560288
2012,B,4,21.4194746,106.857169,2.193394633,4.017787734,1.774689654,498.8785718,10.24018877,18.75763906,8.285402361
2012,B,5,13.97169055,71.24096482,0.483534385,0.412489143,0.455294974,509.895095,3.460815163,2.952320921,3.25869638
2012,B,6,44.87334334,1793.249222,15.13733262,20.5615603,9.53124225,3996.246076,33.73346289,45.82132458,21.24032118
2012,I,1,4.609484467,7.588999528,0.045277352,0.258635349,0.034007615,164.6387917,0.982264996,5.610938719,0.737774801
2012,I,2,6.251613545,51.94243574,0.881199157,0.595822541,0.214221191,830.8644698,14.0955475,9.53070015,3.426654401
2012,I,3,41.54048325,1629.715736,7.5564756,24.27894704,2.31246532,3923.198791,18.19062998,58.44647231,5.566775202
2012,W,1,6.213372043,35.79827843,0.431836827,1.244615152,0.35901502,576.1489603,6.950120229,20.03123495,5.77810273
2012,W,2,1.512375415,0.362663064,0.007811204,0.008982885,0.00209809,23.97969843,0.516485812,0.593958684,0.138728089
2012,W,3,4.008806889,118.0805575,0.302436343,1.768522289,0.008462143,2945.5287,7.544298138,44.11592621,0.211088824
2013,B,1,55.30545468,185.6962151,.,.,.,.,.,.,.
2013,B,2,42.05697991,52.26150137,.,.,.,.,.,.,.
2013,B,3,85.76094352,373.181045,.,.,.,.,.,.,.
2013,B,4,110.0759513,1837.680745,.,.,.,.,.,.,.
2013,B,5,50.15092223,85.92489818,.,.,.,.,.,.,.
2013,B,6,233.6207481,70014.9623,.,.,.,.,.,.,.
2013,I,1,52.27927428,871.1497447,.,.,.,.,.,.,.
2013,I,2,54.47366859,804.0452351,.,.,.,.,.,.,.
